sentences,dists
A Harrods spokesman said : ` Each year aim deliver unique Christmas windows enthrall inspire visitors around world .,-inf -5.695336649207325 -7.690996853252039 -6.440585948480683 -inf -inf -6.7319273469586145 -5.668415068616126 -7.61337331244571 -7.674750451635702 -7.667257212876922 -5.486952061979882 -7.0720005905005 -7.66896134448179 -7.654099096480046 -7.688439140985169 -6.741913402635798 -6.472974011319494 -inf
"` The Harrods Express captivating concept enables us take customers compelling festive journey , `` carriage '' window beautifully showcases store 's stunning unrivalled offering luxury fashion , accessories , homewares special Christmas gifts . '",-inf -5.383837453772066 -5.695336649207325 -6.723783441832104 -7.659763069963857 -7.634875140266627 -7.65551555983564 -5.961482804246777 -6.4799375818551965 -7.670432740352751 -7.650252084174074 -6.46740011896648 -7.664862624890608 -inf -inf -6.240849987276987 -inf -6.082937264777519 -7.615909143824758 -6.455293475827194 -5.412662895548355 -inf -7.6881222758854815 -7.625465174474436 -7.681317195151904 -6.726994587000647 -6.464151357358896 -inf -6.457733528424664 -inf -6.4559983645879635 -7.6589493546149185 -5.486952061979882 -7.606946727911376 -inf -inf
"This weekend also marked official opening Harrods Grotto , arrival Father Christmas part annual Christmas Parade .",-6.730221941172547 -7.565920390881911 -5.681478329950878 -7.655371794221374 -7.682589552263071 -7.671651156580016 -5.695336649207325 -7.647733531768504 -inf -7.64518131770905 -7.08686268795078 -5.486952061979882 -7.069848569871225 -7.073663111530265 -5.486952061979882 -7.660969247188389 -inf
"Glamorous : Visually inspired iconic British steam train , carriage showcases store 's sought-after luxurious fashion",-6.462536489770124 -inf -7.631443126849416 -6.718496595044553 -6.261538109430884 -6.271892081593702 -6.4669149896882905 -6.459520945869167 -inf -6.240849987276987 -6.455293475827194 -5.412662895548355 -inf -5.904793828359006 -6.729541066959509 -6.464151357358896
"Lavish : There 's also accessories homewares , set scenes glamorous piano bar dinner party",-7.077739526441439 -inf -6.099686473393928 -inf -5.681478329950878 -6.457733528424664 -6.4559983645879635 -inf -6.723672833508229 -7.0959130233629235 -6.462536489770124 -7.068781682792861 -7.077167736356637 -7.100725668011605 -7.626894629166159
Dazzling : Each window framed twinkling hedgerows store 's iconic facade also features huge Christmas trees,-7.677133477992337 -inf -6.7319273469586145 -6.082937264777519 -7.098832421027414 -7.0907900018418495 -7.057173741373071 -5.412662895548355 -inf -6.261538109430884 -7.10568883648791 -5.681478329950878 -6.460581232005605 -7.0437309858876525 -5.486952061979882 -6.720146775329584
"Feeling festive : Exquisite designer evening gowns , elegant jewellery , children 's toys deluxe luggage feature Christmassy carriage",-8.935242945555421 -6.46740011896648 -inf -7.095288372819144 -7.058002989150231 -6.280588011349214 -7.086289914112764 -inf -7.656985656411306 -7.068083059799867 -inf -6.7246319189930315 -inf -7.062858685463412 -7.086710411880178 -7.075212705500996 -7.097664673494144 -7.687252445107165 -6.240849987276987
@highlight,-7.877095084903179
"This year 's Christmas set inspired classic British steam train , albeit far glamorous version",-6.730221941172547 -5.668415068616126 -inf -5.486952061979882 -6.723672833508229 -6.718496595044553 -7.0711919846700955 -6.271892081593702 -6.4669149896882905 -6.459520945869167 -inf -7.682124918857052 -7.086548671516621 -6.462536489770124 -7.675495440289998
@highlight,-7.877095084903179
"Each ` carriage ' showcases store 's sought-after festive fashion , accessories homewares",-6.7319273469586145 -inf -6.240849987276987 -inf -6.455293475827194 -5.412662895548355 -inf -5.904793828359006 -6.46740011896648 -6.464151357358896 -inf -6.457733528424664 -6.4559983645879635
@highlight,-7.877095084903179
"The expensive item Swarovski-covered # 80,000 gown Ralph & Russo",-5.383837453772066 -7.658442558488248 -7.663184903793863 -6.966991928447863 -inf -5.902486425600682 -7.056319871468636 -7.086110711622048 -inf -7.080297277283871
@highlight,-7.877095084903179
Customers also pick # 3.95 baubles seen glitzy display,-7.670432740352751 -5.681478329950878 -7.6539350090591025 -inf -7.094145497669115 -7.073460191648493 -7.118881582088163 -7.6907681027218775 -6.089647242637225
@highlight,-7.877095084903179
Took 50 people three weeks create features 60 trees hundreds thousands light bulbs,-7.657617740209685 -7.094553661440459 -6.448561421531665 -6.456574852507122 -7.6811746304555815 -7.084711526103332 -6.460581232005605 -6.7276948353564485 -6.720146775329584 -7.093005344976171 -6.469279031943328 -7.655169210829017 -7.678162702623751
Two kittens saved covered yellow paint abandoned cardboard box side road China .,-6.468897300159942 -5.902228345123303 -7.286344251679265 -6.46717038973844 -6.94887323610709 -5.806760860079504 -6.946138725834173 -6.6730055911362856 -6.294138063354411 -6.942517078226018 -6.661594246903454 -6.302797944508563 -inf
The animals discovered nearby resident heard crying went investigate .,-5.699416274745877 -6.456580490548306 -7.830732533378625 -7.852727598082975 -7.8456740416470065 -7.878048589400152 -7.893894344117003 -6.946307422649456 -7.838549208823482 -inf
"Animal rights campaigners today blasted whoever left , labelling act ` terribly cruel ' .",-6.950368880387257 -7.29216374989072 -7.306222768954737 -7.839229572617614 -7.853826036644328 -7.293002139625731 -6.0162498190234315 -inf -7.8902852519091935 -7.901348769514997 -inf -7.302628543239424 -7.312411171576248 -inf -inf
"Yue You Meng , Guangzhou , said walking road realised noise coming battered cardboard box .",-6.67083619408885 -6.295196208726397 -6.9449248608270135 -inf -6.930572199387495 -inf -5.171681268845311 -7.863177918565767 -6.661594246903454 -7.887587169127718 -7.884216980569365 -7.898492963709101 -7.88294533665483 -6.6730055911362856 -6.294138063354411 -inf
Two kittens saved -LRB- right -RRB- covered yellow paint -LRB- left -RRB- abandoned cardboard box side road China,-6.468897300159942 -5.902228345123303 -7.286344251679265 -6.472663851272571 -6.683960139609975 -6.470809411477318 -6.46717038973844 -6.94887323610709 -5.806760860079504 -6.472663851272571 -6.0162498190234315 -6.470809411477318 -6.946138725834173 -6.6730055911362856 -6.294138063354411 -6.942517078226018 -6.661594246903454 -6.302797944508563
She said : ` When I opened I saw two kittens inside covered sticky yellow paint .,-6.307032116241112 -5.171681268845311 -inf -inf -7.897440091489385 -inf -7.877443060445762 -inf -6.943421619026865 -6.468897300159942 -5.902228345123303 -7.823799380340509 -6.46717038973844 -7.284973222652071 -6.94887323610709 -5.806760860079504 -inf
"` It almost dried legs stuck together , stuck together , even eyes closed paint .",-inf -5.7099136171550855 -7.911254287374848 -7.313840356281955 -7.306595677846239 -6.667332927627821 -6.928680364668588 -inf -6.667332927627821 -6.928680364668588 -inf -5.72450555877229 -6.937472303074798 -7.885718190038036 -5.806760860079504 -inf
` They really pitiful state I picked box took home I tried clean paint . ',-inf -5.635217244370419 -5.716183083279593 -7.854529911546919 -6.005102714174507 -inf -7.869146587497141 -6.294138063354411 -6.694134232561116 -5.716187998678762 -inf -7.832442470499536 -7.9090957733724006 -5.806760860079504 -inf -inf
But 27-year-old unable remove paint took animals vet cut fur .,-6.284699987951634 -5.49958716474426 -7.853023517540482 -7.844421191133252 -5.806760860079504 -6.694134232561116 -6.456580490548306 -7.285827465813813 -6.472517896121863 -6.289833850052331 -inf
"The sticky paint dried stuck kittens ' legs together , well matting fur covering eyes",-5.699416274745877 -7.284973222652071 -5.806760860079504 -7.313840356281955 -6.667332927627821 -5.902228345123303 -inf -7.306595677846239 -6.928680364668588 -inf -6.30612812411839 -7.886793871480964 -6.289833850052331 -7.855763674210531 -6.937472303074798
"A vet painstakingly cut paint-covered fur kittens , took several hours . They wrapped tiny blankets",-inf -7.285827465813813 -7.873967074260302 -6.472517896121863 -5.390263688331615 -6.289833850052331 -5.902228345123303 -inf -6.694134232561116 -7.876043234212306 -7.90404456352532 -inf -5.635217244370419 -7.892520448871212 -7.8670233185708085 -inf
"A spokesman People Ethical Treatment Animals -LRB- PETA -RRB- said : ` Slapping paint animals terribly cruel could cause allergic reactions , blood poisoning life-threatening complications , including suffocation .",-inf -7.884588805668183 -6.479941670999277 -7.836597292620832 -7.852984848275857 -6.456580490548306 -6.472663851272571 -7.309664868117626 -6.470809411477318 -5.171681268845311 -inf -inf -7.858388272425694 -5.806760860079504 -6.456580490548306 -7.302628543239424 -7.312411171576248 -6.947033809371066 -7.864736575802138 -7.898750921707934 -7.869747985870654 -inf -7.281433045948569 -7.884540436991889 -6.607413409285835 -7.915052422022856 -inf -6.919109188822377 -7.869453879210025 -inf
"` Unfortunately , type abuse legal China , penalties abusing animals .",-inf -7.901182913710441 -inf -7.290967418250923 -7.88203676552897 -7.867756444958775 -6.302797944508563 -inf -7.8477544177761835 -7.844725210272462 -6.456580490548306 -inf
"` PETA Asia regularly communicates municipal governments China effort implement better animal welfare legislation , including dispelling myths rabies assisting animal control issues . '",-inf -7.309664868117626 -7.870382372234041 -7.880170477486511 -7.817931115429688 -7.86372761158735 -7.8593888089923585 -6.302797944508563 -7.867510119239483 -7.88317801422911 -6.47826910161797 -6.950368880387257 -7.871111516932084 -7.917353616993712 -inf -6.919109188822377 -7.890516317833568 -7.8675279896561925 -7.884436654834858 -7.904465863524771 -6.950368880387257 -7.280169444172284 -7.919682174487045 -inf -inf
Miss Yue added : ` The kittens better walk around seem suffered permanent damage eyes ears .,-7.862425141228752 -6.67083619408885 -7.287485478486624 -inf -inf -5.699416274745877 -5.902228345123303 -6.47826910161797 -7.318268119616893 -6.469464635801317 -7.3226637267158186 -6.92752437847163 -7.292414231822861 -7.289502135139184 -6.937472303074798 -7.301781867203983 -inf
` But still look really poorly much fur cut-off .,-inf -6.284699987951634 -6.690555309639907 -6.929007907008418 -5.716183083279593 -7.283973756663674 -6.301444748532229 -6.289833850052331 -6.10985947321855 -inf
"Yue You Meng , Guangzhou , took kittens back home cardboard box recovering",-6.67083619408885 -6.295196208726397 -6.9449248608270135 -inf -6.930572199387495 -inf -6.694134232561116 -5.902228345123303 -6.672315954232487 -5.716187998678762 -6.6730055911362856 -6.294138063354411 -7.869550295488821
The 27-year-old said : ` They better walk around seem suffered permanent damage eyes ears . But still look really poorly much fur cut-off ',-5.699416274745877 -5.49958716474426 -5.171681268845311 -inf -inf -5.635217244370419 -6.47826910161797 -7.318268119616893 -6.469464635801317 -7.3226637267158186 -6.92752437847163 -7.292414231822861 -7.289502135139184 -6.937472303074798 -7.301781867203983 -inf -6.284699987951634 -6.690555309639907 -6.929007907008418 -5.716183083279593 -7.283973756663674 -6.301444748532229 -6.289833850052331 -6.10985947321855 -inf
` They resilient despite bad start life already starting play around like ordinary kittens . ',-inf -5.635217244370419 -7.886178980546801 -7.320183600632298 -7.902682265810843 -7.894979701048385 -6.953772989170173 -7.301308863850356 -7.87659612939856 -6.464806019243185 -6.469464635801317 -6.47381688448423 -6.942390208802291 -5.902228345123303 -inf -inf
It unclear whether kittens accidentally covered paint abandoned deliberately targeted dumped .,-5.7099136171550855 -7.880353172646143 -7.310438251080587 -5.902228345123303 -7.8218463058623575 -6.46717038973844 -5.806760860079504 -6.946138725834173 -7.843834363340823 -7.898467916555729 -7.872182155348555 -inf
Police investigating .,-7.839447407032175 -7.841997631916562 -inf
@highlight,-7.877095084903179
Discovered box Yue You Meng near house Guangzhou,-7.830732533378625 -6.294138063354411 -6.67083619408885 -6.295196208726397 -6.9449248608270135 -6.93524612402038 -7.321189694250909 -6.930572199387495
@highlight,-7.877095084903179
Both cats recovering cleaned fur cut,-inf -7.852109675108792 -7.869550295488821 -7.864232759285196 -6.289833850052331 -6.472517896121863
@highlight,-7.877095084903179
Animal rights campaigners slammed whoever left road,-6.950368880387257 -7.29216374989072 -7.306222768954737 -7.836137239721639 -7.293002139625731 -6.0162498190234315 -6.661594246903454
Few athletes enjoy discussing injuries ailments Andy Murray subject still preferable getting dragged debate Scottish independence .,-7.64356583156675 -6.757906634867791 -7.692980252607021 -7.646529044389052 -7.671290211761588 -7.670166374984128 -5.612605343009781 -5.449753542961041 -7.120376044874579 -7.660773154413346 -7.640284636172526 -7.112351316748844 -7.701146831072179 -7.635108369726627 -6.759055855667546 -6.78029119093846 -inf
After easing way third round US Open far comfortable talking upped intake salt combat cramp future United Kingdom .,-6.482242472341615 -7.67752087105428 -7.096290359204676 -6.502843287762376 -5.729743644486491 -5.961482804246777 -5.828341865157227 -7.086548671516621 -7.127184247366036 -7.666966891557593 -7.7060627060181766 -7.67190843939349 -5.957467461432086 -6.769880758849771 -6.740162348018562 -7.111658827260026 -7.679227682828821 -7.668385181537051 -inf
"He swerved referendum issue adroitly threat Germany 's Matthias Bachinger , defeated 6-3 , 6-3 , 6-4 set meeting evening world No 96 Andrey Kuznetsov Russia .",-7.441044818104457 -7.6365033422443185 -7.720536916903176 -6.495322279543375 -7.658610926160472 -7.700572133373354 -7.686970464395341 -inf -6.752159681844378 -6.5079523336689595 -inf -7.108004791591583 -inf -inf -inf -inf -inf -6.723672833508229 -7.709039817066816 -6.280588011349214 -6.472974011319494 -6.302342499287113 -6.730326051426272 -6.770092911920863 -6.499607580881659 -7.119352076031274 -inf
VIDEO Scroll Sportsmail 's Mike Dickson Ross Hutchins US Open,-7.7027316859754835 -7.081575493506664 -7.659430848268574 -inf -7.688546576706263 -7.664101660385042 -7.165355538206245 -7.100691578166297 -5.961482804246777 -5.828341865157227
"Great Scot ! Andy Murray reached last 32 US Open Flushing Meadows , New York",-7.668207351273144 -7.1147928423664615 -inf -5.612605343009781 -5.449753542961041 -7.69850610820736 -6.7310399614972285 -7.6994278534514455 -5.961482804246777 -5.828341865157227 -7.099236260855819 -7.12741723485956 -inf -6.736161696559251 -7.124908222635681
Spasms : British No 1 suffered cramps arms first round match Robin Haase,-7.686149465715151 -inf -6.271892081593702 -6.302342499287113 -inf -7.077670336496401 -6.493914659378922 -7.6465507606300775 -5.803008547734645 -5.729743644486491 -7.1379596889564 -6.7775256899536815 -7.109111691441867
Super shaker : Andy Murray revealed taking salt sachets combat muscle fatigue,-inf -7.670757633236345 -inf -5.612605343009781 -5.449753542961041 -7.1101480351824256 -6.478508886775155 -5.957467461432086 -6.766447232435077 -6.769880758849771 -6.759048362892365 -7.669114549201799
"Against Bachinger relatively cool New York evening repeat spasms hindered first round , typical Murray fashion left anything chance making sure re-occur future .",-inf -6.5079523336689595 -7.64423448156822 -7.096003176118628 -6.736161696559251 -7.124908222635681 -6.280588011349214 -7.123571243992811 -7.686149465715151 -7.639712580396323 -5.803008547734645 -5.729743644486491 -inf -7.667360888380018 -5.449753542961041 -6.464151357358896 -7.662783637394203 -7.684066830322918 -7.70907911836089 -6.74981663341921 -6.475897409044048 -6.684545308812227 -7.111658827260026 -inf
This involves raiding player canteen Flushing Meadows dinky little packets seasoning use purely add flavour pasta .,-6.730221941172547 -7.678356888681199 -7.656165633214392 -7.648454748034111 -7.095324222530693 -7.099236260855819 -7.12741723485956 -7.672628399202498 -6.489750919887081 -7.656990890954903 -7.690815164232061 -7.654910892582816 -7.691584992434271 -7.720287687943737 -7.686573657886017 -7.693335923736505 -inf
"` I changed things , much I 'm eating I 'm drinking . I 'm making sure I enough fluids take bit salt see helps , ' said .",-inf -inf -7.696791926968331 -7.684108664776643 -inf -6.773704673354815 -inf -inf -7.7189737714563496 -inf -inf -7.669565957039786 -inf -inf -inf -6.74981663341921 -6.475897409044048 -inf -7.09963074065644 -7.111178473977443 -6.4799375818551965 -7.687229924007516 -5.957467461432086 -7.634649220391692 -7.671792333261759 -inf -inf -6.440585948480683 -inf
` There little one-gram sachets salt restaurant I take . The conditions tough need make sure top everything matches n't get caught .,-inf -6.099686473393928 -6.489750919887081 -6.412115234394962 -6.766447232435077 -5.957467461432086 -7.0912205435789115 -inf -6.4799375818551965 -inf -5.383837453772066 -7.1515933260250355 -7.128985888783856 -7.6850886265960305 -6.463925906265739 -6.475897409044048 -6.118920413271195 -7.681183915795725 -6.750122556713331 -inf -5.966745692955748 -7.668795462271824 -inf
"` I n't weigh food I weigh three times day -- I get , normally practice , I go bed . I know exactly weight morning evening . '",-inf -inf -inf -7.138198846938465 -6.714157763036745 -inf -7.138198846938465 -6.456574852507122 -7.664777415141517 -7.670906864679202 -inf -inf -5.966745692955748 -inf -7.709321953396491 -7.670625704596006 -inf -inf -6.469695911011922 -7.70222896537693 -inf -inf -7.699165486477558 -7.684989466792972 -7.109458827268236 -7.696073628024932 -6.280588011349214 -inf -inf
From Russia love : World No 96 Andrey Kuznetsov faces former Wimbledon champion next round,-7.6018726871541995 -7.119352076031274 -7.133330121886609 -inf -6.472974011319494 -6.302342499287113 -6.730326051426272 -6.770092911920863 -6.499607580881659 -7.118984134908375 -7.105036674508857 -6.768937157423565 -6.732524879812767 -7.131057437900394 -5.729743644486491
Team GB : British fans get behind Andy Murray third round match Matthias Bachinger,-6.7327741563344805 -7.683739346896079 -inf -6.271892081593702 -7.661195228313227 -5.966745692955748 -7.1060398330254495 -5.612605343009781 -5.449753542961041 -6.502843287762376 -5.729743644486491 -7.1379596889564 -6.752159681844378 -6.5079523336689595
Australian Open Quarter-final,-inf -5.828341865157227 -6.0709182459252835
French Open Semi-final,-8.942798310036514 -5.828341865157227 -7.0092470348285865
Wimbledon Quarter-final,-6.768937157423565 -6.0709182459252835
US Open ?,-5.961482804246777 -5.828341865157227 -inf
Evidently part review happened first-round struggle Robin Haase .,-7.687063378505256 -7.069848569871225 -7.668844008177513 -7.713681241613615 -5.072558097307082 -7.669664656621032 -6.7775256899536815 -7.109111691441867 -inf
` There fluctuations earlier week terms weight . I drunk enough terms quantity maybe something missing . I make sure I top rest tournament . ',-inf -6.099686473393928 -7.622580148722267 -7.676741853902445 -6.475517632846142 -7.090955578712411 -7.109458827268236 -inf -inf -7.6587672163570435 -7.09963074065644 -7.090955578712411 -7.709421161896017 -7.6812217239335485 -7.122465670388154 -7.665263642790791 -inf -inf -6.463925906265739 -6.475897409044048 -inf -6.118920413271195 -7.650225629338912 -7.126272615210912 -inf -inf
"The soaring temperatures past week -- seen several players go cramp -- abated mild days expected 2012 champion tries get past Russian , upset Spain 's formidable Fernando Verdasco five sets .",-5.383837453772066 -7.642980372009033 -7.682909283288038 -6.751868554159545 -6.475517632846142 -inf -7.118881582088163 -7.707957609404877 -7.0949990197233985 -6.469695911011922 -6.740162348018562 -inf -7.698692062852352 -7.676619301149167 -7.087097583874756 -7.673903370153989 -6.757686657273213 -6.732524879812767 -7.667231371004471 -5.966745692955748 -6.751868554159545 -7.712486230894985 -inf -7.706239674132787 -7.666772381541555 -inf -7.665112399229125 -7.682976205546909 -7.692110399105711 -6.237585112511674 -7.647121071017253 -inf
"Kuznetsov dangerous , flat hitter beating Britain 's Dan Evans Wimbledon -- year ago today Evans came close beating Tommy Robredo make last 16 -- went make fourth round SW19",-6.499607580881659 -7.694107978422115 -inf -7.138597096656607 -7.724552426157936 -7.099824304342846 -6.741054102390336 -inf -7.706836588402596 -7.100355204585772 -6.768937157423565 -inf -5.668415068616126 -6.479787679690891 -7.087336607109899 -7.100355204585772 -6.747457482104218 -7.690059729523143 -7.099824304342846 -7.668635585613524 -7.701302632439147 -6.463925906265739 -6.7310399614972285 -7.66302726537079 -inf -7.648694276569 -6.463925906265739 -7.679970192732677 -5.729743644486491 -inf
"To also beat ultra-tough David Ferrer , underestimated . The 23-year-old coached father spare time likes drive BMWs play guitar .",-7.664197802159902 -5.681478329950878 -7.070024303628069 -6.662703016680004 -7.663436348813678 -7.679507692936845 -inf -7.689721702292402 -inf -5.383837453772066 -5.259561745379946 -7.685927688078876 -7.08686268795078 -7.699682525426253 -6.469415374641712 -7.118009111939081 -7.664117476117836 -7.693157056840875 -7.110334084207694 -7.668078574780593 -inf
Love game : Andy Murray 's girlfriend Kim Sears watches action New York heat,-7.133330121886609 -7.658957694674451 -inf -5.612605343009781 -5.449753542961041 -inf -7.71188915656238 -7.685002106373253 -7.695341731535169 -7.701837589127364 -7.720965826641414 -6.736161696559251 -7.124908222635681 -9.046965486382572
Girl power : The Scot trains female coach Amelie Mauresmo bids win first tournament year,-8.987490809298125 -7.680348136615426 -inf -5.383837453772066 -7.1147928423664615 -7.677546902269127 -7.651294429563152 -7.674990355902172 -7.667111560506726 -7.6524408054518505 -7.717748778804043 -7.662556029779955 -5.803008547734645 -7.126272615210912 -5.668415068616126
Same ? Andy Murray hoping repeat success winning 2012 US Open,-inf -inf -5.612605343009781 -5.449753542961041 -7.684266667387443 -7.123571243992811 -7.665889701195376 -7.6709544223245745 -6.757686657273213 -5.961482804246777 -5.828341865157227
"Five years ago junior Wimbledon swift ascent predicted , many others age , work way .",-6.237585112511674 -6.462978942934524 -6.479787679690891 -7.715443231231403 -6.768937157423565 -7.6893756432932765 -7.7008072889666845 -7.7043936362065795 -inf -6.766427996410254 -7.0659979684778795 -7.680208909806891 -inf -6.772835820742311 -7.096290359204676 -inf
"` It pretty hard , I bad periods , ' said . ` In beginning seemed easy I going go top 100 I lost matches . Finally I came top 100 two years ago , first time , I came top 100 year . I lot work , I hope stay .",-inf -6.096121891224089 -7.704713237470996 -7.1163355480601656 -inf -inf -7.649130899726942 -7.694530210635076 -inf -inf -6.440585948480683 -inf -inf -6.455704788387987 -7.6825616404796175 -7.687210306271817 -7.660681443955178 -inf -7.6735361794601955 -6.469695911011922 -6.118920413271195 -6.481262973018356 -inf -7.680134531896599 -6.750122556713331 -inf -7.693457395987226 -inf -6.747457482104218 -6.118920413271195 -6.481262973018356 -6.435098811566942 -6.462978942934524 -6.479787679690891 -inf -5.803008547734645 -6.469415374641712 -inf -inf -6.747457482104218 -6.118920413271195 -6.481262973018356 -5.668415068616126 -inf -inf -7.683397632704539 -6.772835820742311 -inf -inf -7.71234949922142 -7.705119694848107 -inf
"Cramps occur time little known precise causes , partly appear blue .",-6.493914659378922 -7.1161448868894315 -6.469415374641712 -6.489750919887081 -7.71759230721282 -7.659310378577815 -7.6922571086455935 -inf -7.668809140499873 -7.670363595159302 -7.645135977756613 -inf
"Sometimes underlying health issues liver disease lead muscle cramps , top athletes -- fittest people planet -- cramp something mystery .",-7.710058045343962 -7.680839322690279 -7.675180455451197 -7.681934832887365 -7.6909844110584995 -7.667116713202768 -7.119518277715345 -6.759048362892365 -6.493914659378922 -inf -6.118920413271195 -6.757906634867791 -inf -7.670493055052362 -6.448561421531665 -7.677564078494492 -inf -6.740162348018562 -7.122465670388154 -7.096642472021041 -inf
"It widely-held belief dehydrated , therefore lower levels salt body , could lead muscles involuntarily contracting . Though little clinical evidence , athletes try minimise effects taking extra fluids nutrients . What works may work others , clearly Andy Murray feels snacking salt reduces risk .",-6.096121891224089 -6.963706269022445 -7.668179187838557 -7.659497816492433 -inf -7.7079114680824174 -7.6784643816695874 -7.64282150415673 -5.957467461432086 -7.69764784064621 -inf -7.5917981762706965 -7.119518277715345 -7.660542127967401 -7.660083230549506 -7.700144089282374 -inf -7.682899874572768 -6.489750919887081 -7.6915733101794785 -7.659986534355597 -inf -6.757906634867791 -7.633800280270628 -7.660392848751342 -7.675951431129856 -6.478508886775155 -7.661503877291752 -7.111178473977443 -7.672913350618734 -inf -7.667827370279577 -7.691523592499123 -6.722674151404662 -6.772835820742311 -7.0659979684778795 -inf -7.627476213261245 -5.612605343009781 -5.449753542961041 -7.7066626672145855 -7.7007095494768265 -5.957467461432086 -7.674007444411567 -7.687467538312228 -inf
"` I aggressive Andy , much less pressure . '",-inf -inf -7.6725608705518855 -5.612605343009781 -inf -6.773704673354815 -7.68772930004358 -7.6498667180863915 -inf -inf
"Murray looked much comfortable Bachinger unhappy conditions windy , showed nobody skilful blowing .",-5.449753542961041 -7.0707183935182565 -6.773704673354815 -7.127184247366036 -6.5079523336689595 -7.7076331159625955 -7.1515933260250355 -7.679807433107221 -inf -7.6625424318082445 -7.709668808969156 -7.666594727886679 -7.66523857647634 -inf
"Looking ahead , expectations placed high Novak Djokovic , prospective quarter-final opponent , looks like already played back form .",-7.697433050828661 -7.114443525872951 -inf -7.660408620025185 -7.664466247712529 -7.606704655056781 -6.7413904506627285 -6.753311674371967 -inf -7.682700130179533 -6.0709182459252835 -7.131603766779279 -inf -7.021210546011453 -7.614957930657594 -7.680437202094022 -7.67748236371541 -7.65033063744487 -7.700601270796822 -inf
Danger ahead ! Novak Djokovic Andy Murray 's potential opponent reach quarter-finals,-7.676602519868386 -7.114443525872951 -inf -6.7413904506627285 -6.753311674371967 -5.612605343009781 -5.449753542961041 -inf -7.711877721859283 -7.131603766779279 -7.123606050700297 -6.066782050337256
Keeping schtum : Andy Murray would prefer get involved issue Scottish independence,-9.189563463590959 -7.709703719037576 -inf -5.612605343009781 -5.449753542961041 -6.462873578592096 -7.100247346028907 -5.966745692955748 -7.6731634161593245 -6.495322279543375 -6.759055855667546 -6.78029119093846
"Nice touch players ' lounge competitors signing giant get-well card Haitian-American teenager Victoria Duval , last year beat former champion Sam Stosur . Duval treated Hodgkin 's lymphoma . Unsurprisingly , one signatures Ross Hutchins , cancer survivor .",-9.105462207905132 -7.654563315280121 -7.0949990197233985 -inf -7.679331204092342 -7.686604325775952 -7.680115722566293 -7.621954176853323 -5.408805671121526 -7.648334380214387 -6.953500986169828 -7.6926137376928265 -7.71170091712806 -7.100411295879975 -inf -6.7310399614972285 -5.668415068616126 -7.070024303628069 -7.105036674508857 -6.732524879812767 -7.684502543980655 -7.711286957394956 -inf -7.100411295879975 -7.675482307258719 -7.683565499079029 -inf -7.703350277952491 -inf -7.7122322658614415 -inf -6.744038498773805 -7.648262710852956 -7.165355538206245 -7.100691578166297 -inf -7.689336375913596 -7.672656680112422 -inf
"More bizarre US Open scheduling yesterday many best daytime matches put Grandstand Court , third largest arena . The likes Gael Monfils , Caroline Wozniacki , Simona Halep Tomas Berdych better flat fare served Arthur Ashe .",-7.667177653002365 -7.726339765605117 -5.961482804246777 -5.828341865157227 -7.6910122484020995 -7.634935458716541 -6.766427996410254 -7.0664151749816675 -7.701789730709169 -6.750122556713331 -7.127556028798644 -7.6814628171910435 -7.699516155550793 -inf -6.502843287762376 -7.675378212689186 -7.72225357296524 -inf -5.383837453772066 -7.118009111939081 -7.690251538466248 -7.695997770870596 -inf -7.698618801412962 -7.672728595171746 -inf -7.670597078788867 -7.678374487788903 -7.680685884321089 -7.70818146896727 -7.632099736226235 -7.138597096656607 -7.694090317880211 -7.633408039917058 -7.716384356293514 -7.716815570371103 -inf
"Equally hard avoid independence issue , wanted tiptoe around subject keen emphasise taking keen interest .",-7.722944183989141 -7.1163355480601656 -7.681273958212179 -6.78029119093846 -6.495322279543375 -inf -7.694650935896364 -7.692522225445808 -6.741913402635798 -7.120376044874579 -7.139254031870698 -7.694022064642302 -6.478508886775155 -7.139254031870698 -7.683828965984866 -inf
"Knowing well abuse would take either side -- getting tired , old accusations anti-Englishness one hand attacked Cybernats -- taken easier option hid behind fact , long-time Surrey resident , vote anyway .",-7.710045318397121 -6.258342263576159 -7.7195534500924925 -6.462873578592096 -6.4799375818551965 -7.701569807682687 -7.669267221582275 -inf -7.112351316748844 -7.662807891679218 -inf -6.706200348569461 -7.657737834572389 -7.018325473857251 -6.744038498773805 -7.655096542096054 -7.67839285561955 -7.717632822280517 -inf -7.6699889991217995 -7.687389058269542 -7.673114169393315 -7.700378092259453 -7.1060398330254495 -7.66261855042232 -inf -6.034406272520756 -7.687007974449926 -7.667147881931606 -inf -7.72466239762184 -7.674665769512779 -inf
"A shame many ways , original thinker full view would doubtless interesting .",-inf -7.612795829236611 -6.766427996410254 -7.650637479848864 -inf -7.681084216678817 -7.719513526320124 -7.615422628168302 -7.722575031041723 -6.462873578592096 -7.682486140435667 -7.686833942421405 -inf
"It 's late play MailOnline Fantasy Football ... There 's # 1,000 EVERY WEEK highest scoring manager",-6.096121891224089 -inf -7.632734514673198 -7.110334084207694 -7.673022132420215 -7.111915375725959 -7.087282938365174 -inf -6.099686473393928 -inf -inf -6.2617062525751495 -7.136447461479825 -6.475517632846142 -7.683701566143894 -7.688157692429811 -9.09156994279235
